name,category,intercept,slope
cancel-const,simplification,2.879491552431423,0.05196513917317783
cancel-var,simplification,3.3100434292456296,0.03562639522241497
combine-like-const,simplification,2.53790935144895,0.05822995007359943
combine-like-var,simplification,3.123453519062707,0.04782532654560117
distribute-multiplication,transformation,-1.1813309082237482,0.18429597377303547
divide,simplification,2.7909570738014864,0.07547947605951899
division-complex,transformation,1.2252524297452123,0.12353754306792841
division-simple,transformation,1.1739170957551535,0.11394873285724022
subtraction-const,transformation,0.808666556859066,0.07232657421966855
subtraction-var,transformation,0.2993911056145384,0.09965042582114383
